Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,100 Thieves,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,100 Thieves,raze,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,100 Thieves,breach,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,100 Thieves,fade,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,100 Thieves,astra,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,Cloud9,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,Cloud9,viper,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,Cloud9,cypher,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,Cloud9,raze,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,Cloud9,skye,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,LOUD,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,LOUD,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,LOUD,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,LOUD,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,LOUD,kayo,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,KRÜ Esports,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,KRÜ Esports,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,KRÜ Esports,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,KRÜ Esports,jett,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,KRÜ Esports,kayo,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,MIBR,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,MIBR,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,MIBR,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,MIBR,jett,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,MIBR,kayo,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,NRG Esports,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,NRG Esports,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,NRG Esports,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,NRG Esports,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Ascent,NRG Esports,kayo,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,LOUD,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,LOUD,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,LOUD,breach,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,LOUD,gekko,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,LOUD,neon,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,KRÜ Esports,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,KRÜ Esports,cypher,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,KRÜ Esports,raze,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,KRÜ Esports,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,KRÜ Esports,kayo,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,MIBR,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,MIBR,cypher,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,MIBR,raze,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,MIBR,breach,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,MIBR,gekko,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,NRG Esports,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,NRG Esports,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,NRG Esports,breach,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,NRG Esports,fade,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,NRG Esports,neon,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,Evil Geniuses,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,Evil Geniuses,cypher,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,Evil Geniuses,breach,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,Evil Geniuses,fade,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,Evil Geniuses,neon,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,LEVIATÁN,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,LEVIATÁN,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,LEVIATÁN,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,LEVIATÁN,breach,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sunset,LEVIATÁN,neon,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,LOUD,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,LOUD,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,LOUD,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,LOUD,skye,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,LOUD,neon,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,FURIA,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,FURIA,breach,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,FURIA,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,FURIA,gekko,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,FURIA,neon,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,NRG Esports,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,NRG Esports,fade,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,NRG Esports,yoru,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,NRG Esports,clove,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,NRG Esports,deadlock,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,Sentinels,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,Sentinels,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,Sentinels,breach,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,Sentinels,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,Sentinels,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,LEVIATÁN,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,LEVIATÁN,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,LEVIATÁN,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,LEVIATÁN,breach,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,LEVIATÁN,neon,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,100 Thieves,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,100 Thieves,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,100 Thieves,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,100 Thieves,jett,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,100 Thieves,kayo,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,G2 Esports,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,G2 Esports,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,G2 Esports,breach,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,G2 Esports,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,G2 Esports,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,Cloud9,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,Cloud9,breach,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,Cloud9,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,Cloud9,gekko,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,Cloud9,jett,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,LOUD,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,LOUD,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,LOUD,gekko,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,LOUD,kayo,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,LOUD,harbor,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,FURIA,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,FURIA,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,FURIA,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,FURIA,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,FURIA,sage,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,MIBR,viper,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,MIBR,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,MIBR,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,MIBR,gekko,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,MIBR,jett,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,Evil Geniuses,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,Evil Geniuses,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,Evil Geniuses,sage,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,Evil Geniuses,harbor,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,Evil Geniuses,clove,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,LEVIATÁN,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,LEVIATÁN,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,LEVIATÁN,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,LEVIATÁN,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,LEVIATÁN,harbor,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,100 Thieves,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,100 Thieves,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,100 Thieves,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,100 Thieves,gekko,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,100 Thieves,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,G2 Esports,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,G2 Esports,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,G2 Esports,viper,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,G2 Esports,raze,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,G2 Esports,fade,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,KRÜ Esports,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,KRÜ Esports,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,KRÜ Esports,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,KRÜ Esports,raze,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,KRÜ Esports,fade,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,Evil Geniuses,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,Evil Geniuses,cypher,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,Evil Geniuses,fade,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,Evil Geniuses,breach,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,Evil Geniuses,neon,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,100 Thieves,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,100 Thieves,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,100 Thieves,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,100 Thieves,raze,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,100 Thieves,fade,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,LOUD,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,LOUD,raze,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,LOUD,cypher,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,LOUD,fade,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,LOUD,breach,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,LEVIATÁN,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,LEVIATÁN,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,LEVIATÁN,fade,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,LEVIATÁN,breach,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,LEVIATÁN,neon,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,G2 Esports,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,G2 Esports,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,G2 Esports,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,G2 Esports,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,G2 Esports,kayo,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,KRÜ Esports,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,KRÜ Esports,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,KRÜ Esports,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,KRÜ Esports,jett,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,KRÜ Esports,kayo,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,NRG Esports,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,NRG Esports,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,NRG Esports,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,NRG Esports,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,NRG Esports,kayo,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,Cloud9,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,Cloud9,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,Cloud9,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,Cloud9,jett,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,Cloud9,kayo,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,Evil Geniuses,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,Evil Geniuses,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,Evil Geniuses,jett,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,Evil Geniuses,cypher,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,Evil Geniuses,kayo,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,100 Thieves,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,100 Thieves,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,100 Thieves,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,100 Thieves,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,100 Thieves,kayo,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Split,G2 Esports,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Split,G2 Esports,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Split,G2 Esports,raze,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Split,G2 Esports,fade,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Split,G2 Esports,breach,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Split,KRÜ Esports,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Split,KRÜ Esports,viper,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Split,KRÜ Esports,raze,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Split,KRÜ Esports,cypher,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Split,KRÜ Esports,skye,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,NRG Esports,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,NRG Esports,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,NRG Esports,jett,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,NRG Esports,viper,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,NRG Esports,kayo,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,Cloud9,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,Cloud9,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,Cloud9,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,Cloud9,gekko,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,Cloud9,reyna,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,LOUD,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,LOUD,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,LOUD,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,LOUD,kayo,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,LOUD,harbor,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,LEVIATÁN,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,LEVIATÁN,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,LEVIATÁN,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,LEVIATÁN,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,LEVIATÁN,harbor,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,MIBR,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,MIBR,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,MIBR,jett,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,MIBR,viper,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,MIBR,gekko,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,FURIA,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,FURIA,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,FURIA,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,FURIA,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Icebox,FURIA,sage,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,NRG Esports,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,NRG Esports,cypher,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,NRG Esports,fade,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,NRG Esports,breach,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,NRG Esports,neon,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,Cloud9,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,Cloud9,raze,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,Cloud9,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,Cloud9,skye,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,Cloud9,clove,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,MIBR,omen,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,MIBR,raze,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,MIBR,cypher,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,MIBR,breach,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,MIBR,gekko,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,FURIA,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,FURIA,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,FURIA,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,FURIA,cypher,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Sunset,FURIA,kayo,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,Evil Geniuses,omen,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,Evil Geniuses,raze,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,Evil Geniuses,gekko,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,Evil Geniuses,skye,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,Evil Geniuses,brimstone,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,100 Thieves,viper,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,100 Thieves,raze,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,100 Thieves,fade,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,100 Thieves,gekko,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,100 Thieves,brimstone,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,Cloud9,viper,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,Cloud9,sova,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,Cloud9,killjoy,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,Cloud9,gekko,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,Cloud9,reyna,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,KRÜ Esports,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,KRÜ Esports,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,KRÜ Esports,killjoy,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,KRÜ Esports,jett,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,KRÜ Esports,kayo,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,LEVIATÁN,viper,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,LEVIATÁN,sova,1,0,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Icebox,LEVIATÁN,killjoy,1,0,1
